d.title,a.number,a.concept,a.subject,a.action,a.object,a.full_text
자본시장과 금융투자업에 관한 법률(법률)(제21134호)(20251111),제1조,목적 (Purpose),이 법,자본시장의 공정성ㆍ신뢰성 및 효율성을 높여 국민경제의 발전에 이바지함을 목적으로 한다,자본시장에서의 금융혁신과 공정한 경쟁을 촉진하고 투자자를 보호하며 금융투자업을 건전하게 육성하는 것,제1조(목적) 이 법은 자본시장에서의 금융혁신과 공정한 경쟁을 촉진하고 투자자를 보호하며 금융투자업을 건전하게 육성함으로써 자본시장의 공정성ㆍ신뢰성 및 효율성을 높여 국민경제의 발전에 이바지함을 목적으로 한다.
자본시장과 금융투자업에 관한 법률(법률)(제21134호)(20251111),제2조,국외행위에 대한 적용,이 법,적용한다,국외에서 이루어진 행위로서 그 효과가 국내에 미치는 경우,제2조(국외행위에 대한 적용) 이 법은 국외에서 이루어진 행위로서 그 효과가 국내에 미치는 경우에도 적용한다.
자본시장과 금융투자업에 관한 법률(법률)(제21134호)(20251111),제3조,금융투자상품의 정의,,,,"제3조(금융투자상품) ① 이 법에서 “금융투자상품”이란 이익을 얻거나 손실을 회피할 목적으로 현재 또는 장래의 특정 (特定) 시점에 금전, 그 밖의 재산적 가치가 있는 것(이하 “금전등”이라 한다)을 지급하기로 약정함으로써 취득하는 권리로서, 그 권리를 취득하기 위하여 지급하였거나 지급하여야 할 금전등의 총액(판매수수료 등 대통령령으로 정하 는 금액을 제외한다)이 그 권리로부터 회수하였거나 회수할 수 있는 금전등의 총액(해지수수료 등 대통령령으로 정 하는 금액을 포함한다)을 초과하게 될 위험(이하 “투자성”이라 한다)이 있는 것을 말한다. 다만, 다음 각 호의 어느 하 나에 해당하는 것을 제외한다. <개정 2011. 7. 25., 2013. 5. 28.> 1. 원화로 표시된 양도성 예금증서 2. 「신탁법」"
자본시장과 금융투자업에 관한 법률(법률)(제21134호)(20251111),특정 신탁 정의 (조항 번호 미상),수익증권발행신탁이 아닌 특정 신탁의 범위,,해당함,제78조제1항에 따른 수익증권발행신탁이 아닌 신탁으로서 다음 각 목의 어느 하나에 해당하는 신탁,제78조제1항에 따른 수익증권발행신탁이 아닌 신탁으로서 다음 각 목의 어느 하나에 해당하는 신탁(
자본시장과 금융투자업에 관한 법률(법률)(제21134호)(20251111),제103조제1항제1호 (참조),신탁 재산 수탁의 예외,수탁자,재산을 신탁받는 행위 (제외),제103조제1항제1호의 재산,제 103조제1항제1호의 재산을 신탁받는 경우는 제외하고 수탁자가 「신탁법」
자본시장과 금융투자업에 관한 법률(법률)(제21134호)(20251111),제46조,벌칙 (허가 없는 영업에 대한 처벌),제10조를 위반하여 허가 없이 영업을 한 자,"3년 이하의 징역 또는 3천만원 이하의 벌금에 처하며, 징역과 벌금은 병과될 수 있음",허가 없는 영업 행위,제46조(벌칙) ① 다음 각 호의 어느 하나에 해당하는 자는 3년 이하의 징역 또는 3천만원 이하의 벌금에 처한다. 1. 제10조를 위반하여 허가 없이 영업을 한 자. ② 제1항의 징역과 벌금은 병과할 수 있다.
자본시장과 금융투자업에 관한 법률(법률)(제21134호)(20251111),금융투자상품 정의 및 구분,"금융투자상품의 정의, 제외 및 구분",,"정의, 구분 및 제외한다","금융투자상품 (관리형신탁의 수익권, 증권, 파생상품 등)",제48조까지의 규정에 따 라 처분 권한을 행사하는 경우는 포함한다. 이하 “관리형신탁”이라 한다)의 수익권 가. 위탁자(신탁계약에 따라 처분권한을 가지고 있는 수익자를 포함한다)의 지시에 따라서만 신탁재산의 처분이 이루어지는 신탁 나. 신탁계약에 따라 신탁재산에 대하여 보존행위 또는 그 신탁재산의 성질을 변경하지 아니하는 범위에서 이용 ㆍ개량 행위만을 하는 신탁 3. 그 밖에 해당 금융투자상품의 특성 등을 고려하여 금융투자상품에서 제외하더라도 투자자 보호 및 건전한 거래 질서를 해할 우려가 없는 것으로서 대통령령으로 정하는 금융투자상품 ② 제1항의 금융투자상품은 다음 각 호와 같이 구분한다. 1. 증권 2. 파생상품 가. 장내파생상품 나. 장외파생상품
자본시장과 금융투자업에 관한 법률(법률)(제21134호)(20251111),제4조,증권의 정의,투자자,추가 지급의무를 부담하지 아니함,내국인 또는 외국인이 발행한 금융투자상품,"제4조(증권) ① 이 법에서 “증권”이란 내국인 또는 외국인이 발행한 금융투자상품으로서 투자자가 취득과 동시에 지급 한 금전등 외에 어떠한 명목으로든지 추가로 지급의무(투자자가 기초자산에 대한 매매를 성립시킬 수 있는 권리를 행사하게 됨으로써 부담하게 되는 지급의무를 제외한다)를 부담하지 아니하는 것을 말한다. 다만, 다음 각 호의 어느 하나에 해당하는 증권은 제2편제5장, 제3편제1장(제8편부터 제10편까지의 규정 중 제2편제5장, 제3편제1장의 규정 에 따른 의무 위반행위에 대한 부분을 포함한다) 및"
자본시장과 금융투자업에 관한 법률(법률)(제21134호)(20251111),제178조,내용 없음 또는 삭제된 조항,,,,제178조ㆍ
자본시장과 금융투자업에 관한 법률(법률)(제21134호)(20251111),증권의 정의 및 구분 관련 조항,증권의 정의 및 종류,이 법 및 대통령령,"증권으로 보거나, 구분하거나, 정의한다","투자계약증권, 지분증권, 채무증권 등 증권의 범위 및 종류","제179조를 적용하는 경우에만 증권으로 본다. <개정 2013. 5. 28., 2015. 7. 24.> 1. 투자계약증권 2. 지분증권, 수익증권 또는 증권예탁증권 중 해당 증권의 유통 가능성, 이 법 또는 금융관련 법령에서의 규제 여부 등을 종합적으로 고려하여 대통령령으로 정하는 증권 법제처 2 국가법령정보센터 자본시장과 금융투자업에 관한 법률 ② 제1항의 증권은 다음 각 호와 같이 구분한다. 1. 채무증권 2. 지분증권 3. 수익증권 4. 투자계약증권 5. 파생결합증권 6. 증권예탁증권 ③ 이 법에서 “채무증권”이란 국채증권, 지방채증권, 특수채증권(법률에 의하여 직접 설립된 법인이 발행한 채권을 말한다. 이하 같다), 사채권(「상법」"
